Name,Values
Values 1,"[2.473193645477295, 2.084282636642456, 2.3240301609039307, 3.364915370941162, 1.8339331150054932, 4.576664447784424, 1.2449967861175537, 3.7523767948150635, 1.4414446353912354, 3.3625917434692383, 3.940164566040039, 5.790936708450317, 2.3231327533721924, 2.5474557876586914, 6.137329816818237, 4.327297687530518, 2.98309063911438, 9.684839725494385, 4.8223817348480225, 3.647923231124878, 4.9997241497039795]"
Values 2,"[0.38947582244873047, 0.26556396484375, 0.24612784385681152, 0.15348553657531738, 0.1383986473083496, 0.26483654975891113, 0.10225701332092285, 0.2084822654724121, 0.09541511535644531, 0.437999963760376, 0.17308902740478516, 0.4705924987792969, 0.14483642578125, 0.14514470100402832, 0.8670802116394043, 0.4828310012817383, 0.2579019069671631, 0.4996781349182129, 0.8010790348052979, 0.39133787155151367, 0.2567563056945801]"
Values 3,"[2.128331899642944, 5.34287428855896, 5.116395711898804, 6.668892860412598, 4.165346622467041, 4.639310836791992, 4.622781991958618, 9.069387435913086, 4.585775375366211, 18.05452871322632, 6.603804588317871, 10.26485562324524, 19.629664659500122, 10.184892177581787, 10.466702699661255, 10.16784954071045, 4.149869680404663, 12.508783340454102, 7.958266496658325, 5.097129583358765, 4.446963548660278]"



