Name,Accuracy
a1,"[64.10186941,0.35335689,7.438016529,65.0461369]"
a2,"[98.95692224,92.30769231,39.66942149,99.94491117]"
a3,"[98.79436467,63.1147541,63.63636364,99.38025065]"
